date,regime,strategy,mean_IS,std_IS,cvar_95,is_99th_pct,is_sharpe,forced_liquidation_rate
2024-11-06,post-election surge,Adaptive AC,-0.46046807515250504,0.0024118508395480735,-0.46836645853430037,-0.4684797272787869,-190.918960870271,0.0
2024-11-06,post-election surge,RL Agent,-0.5770928728318744,0.001482912437645075,-0.5796739948106631,-0.5796746093288462,-389.16177332233036,0.0
2024-04-15,BTC correction,TWAP,-0.4435893561193109,0.0023882242362075327,-0.448977183552377,-0.4489773312953623,-185.74023779680792,0.0
2024-04-15,BTC correction,Heuristic,-0.4440088651979468,0.002807536241747285,-0.44929578811760995,-0.44929606537988054,-158.1489288653751,0.0
2024-04-15,BTC correction,AC Optimal,-0.44403615337447827,0.001495854249445151,-0.44690548862923685,-0.4469228060894853,-296.84451132503784,0.0
2024-04-15,BTC correction,Adaptive AC,-0.4468534682759246,0.0032161997155764946,-0.45240184881235657,-0.45240303421531586,-138.93834148977692,0.0
2024-04-15,BTC correction,RL Agent,-0.5637827336428335,0.003650946451967783,-0.5690022634054199,-0.569008235407484,-154.42097703100214,0.0
2024-07-10,mid-summer sideways,TWAP,-0.4513476414742824,0.00019599456398208164,-0.45159710116368534,-0.451597184154307,-2302.8567834660325,0.0
2024-07-10,mid-summer sideways,Heuristic,-0.4507543182400325,0.0003847267968780142,-0.45177079564438016,-0.45177176091078924,-1171.621536985894,0.0
2024-07-10,mid-summer sideways,AC Optimal,-0.440922619287875,0.003484812270100152,-0.44682011619926243,-0.4468212337889628,-126.52693243143047,0.0
2024-07-10,mid-summer sideways,Adaptive AC,-0.44057271710533535,0.006702585168560588,-0.45024568205446003,-0.45024704189734815,-65.73175863526917,0.0
2024-07-10,mid-summer sideways,RL Agent,-0.5238126276782925,0.009149606464271844,-0.5411477398755327,-0.5411489169099276,-57.2497433631431,0.0
2024-12-10,December bull run,TWAP,-0.44138233110175584,0.004204979765028965,-0.45039205958013234,-0.4503943472344464,-104.96657422132877,0.0
2024-12-10,December bull run,Heuristic,-0.44251139039215537,0.004502731095017515,-0.45072042842713,-0.4507243143400732,-98.27621752811164,0.0
2024-12-10,December bull run,AC Optimal,-0.42500776865427936,0.0010880077614518937,-0.4263136612182483,-0.4263142475460403,-390.6293177763689,0.0
2024-12-10,December bull run,Adaptive AC,-0.42639680773705935,0.0019689587409927054,-0.4292353798116595,-0.42923660915743084,-216.559533322738,0.0
2024-12-10,December bull run,RL Agent,-0.5274989022155676,0.0031048580370769815,-0.5318639157313556,-0.531869467926848,-169.89468726972916,0.0
